Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8829, Test accuracy: 0.8295
Round 40: Accuracy = 0.8263, Loss = 0.3866, Decision = 0
Round 41: Accuracy = 0.8259, Loss = 0.3881, Decision = 0
Round 42: Accuracy = 0.8255, Loss = 0.3894, Decision = 0
Round 43: Accuracy = 0.8254, Loss = 0.3908, Decision = 0
Round 44: Accuracy = 0.8252, Loss = 0.3921, Decision = 0
Round 45: Accuracy = 0.8245, Loss = 0.3936, Decision = 0
Round 46: Accuracy = 0.8246, Loss = 0.3951, Decision = 0
Round 47: Accuracy = 0.8241, Loss = 0.3971, Decision = 0
Round 48: Accuracy = 0.8226, Loss = 0.3986, Decision = 0
Round 49: Accuracy = 0.8220, Loss = 0.4005, Decision = 0
Round 50: Accuracy = 0.8217, Loss = 0.4025, Decision = 0
Round 51: Accuracy = 0.8210, Loss = 0.4044, Decision = 0
Round 52: Accuracy = 0.8208, Loss = 0.4061, Decision = 0
Round 53: Accuracy = 0.8201, Loss = 0.4077, Decision = 0
Round 54: Accuracy = 0.8194, Loss = 0.4095, Decision = 0
Round 55: Accuracy = 0.8192, Loss = 0.4114, Decision = 0
Round 56: Accuracy = 0.8187, Loss = 0.4136, Decision = 0
Round 57: Accuracy = 0.8185, Loss = 0.4158, Decision = 0
Round 58: Accuracy = 0.8177, Loss = 0.4180, Decision = 0
Round 59: Accuracy = 0.8175, Loss = 0.4201, Decision = 0
Round 60: Accuracy = 0.8171, Loss = 0.4220, Decision = 0
Round 61: Accuracy = 0.8168, Loss = 0.4241, Decision = 0
Round 62: Accuracy = 0.8160, Loss = 0.4266, Decision = 0
Round 63: Accuracy = 0.8158, Loss = 0.4293, Decision = 0
Round 64: Accuracy = 0.8150, Loss = 0.4315, Decision = 0
Round 65: Accuracy = 0.8144, Loss = 0.4348, Decision = 0
Round 66: Accuracy = 0.8140, Loss = 0.4373, Decision = 0
Round 67: Accuracy = 0.8139, Loss = 0.4396, Decision = 0
Round 68: Accuracy = 0.8136, Loss = 0.4415, Decision = 0
Round 69: Accuracy = 0.8131, Loss = 0.4444, Decision = 0
Round 70: Accuracy = 0.8128, Loss = 0.4473, Decision = 0
Round 71: Accuracy = 0.8124, Loss = 0.4502, Decision = 0
Round 72: Accuracy = 0.8114, Loss = 0.4530, Decision = 0
Round 73: Accuracy = 0.8104, Loss = 0.4562, Decision = 0
Round 74: Accuracy = 0.8093, Loss = 0.4594, Decision = 0
Round 75: Accuracy = 0.8087, Loss = 0.4621, Decision = 0
Round 76: Accuracy = 0.8079, Loss = 0.4650, Decision = 0
Round 77: Accuracy = 0.8072, Loss = 0.4678, Decision = 0
Round 78: Accuracy = 0.8063, Loss = 0.4712, Decision = 0
Round 79: Accuracy = 0.8059, Loss = 0.4747, Decision = 0
Round 80: Accuracy = 0.8050, Loss = 0.4779, Decision = 0
/home/apiasecz/.conda/envs/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 1/5, Loss: 1.3556
Epoch 2/5, Loss: 0.8491
Epoch 3/5, Loss: 0.6593
Epoch 4/5, Loss: 0.5417
Epoch 5/5, Loss: 0.4631
Round 81: Accuracy = 0.8044, Loss = 0.7738, Decision = 1
Round 82: Accuracy = 0.8100, Loss = 0.3979, Decision = 0
Round 83: Accuracy = 0.8099, Loss = 0.3988, Decision = 0
Round 84: Accuracy = 0.8093, Loss = 0.3999, Decision = 0
Round 85: Accuracy = 0.8093, Loss = 0.4010, Decision = 0
Round 86: Accuracy = 0.8094, Loss = 0.4021, Decision = 0
Round 87: Accuracy = 0.8086, Loss = 0.4032, Decision = 0
Round 88: Accuracy = 0.8086, Loss = 0.4044, Decision = 0
Round 89: Accuracy = 0.8086, Loss = 0.4053, Decision = 0
Round 90: Accuracy = 0.8086, Loss = 0.4065, Decision = 0
Round 91: Accuracy = 0.8083, Loss = 0.4078, Decision = 0
Round 92: Accuracy = 0.8083, Loss = 0.4091, Decision = 0
Round 93: Accuracy = 0.8083, Loss = 0.4107, Decision = 0
Round 94: Accuracy = 0.8080, Loss = 0.4121, Decision = 0
Round 95: Accuracy = 0.8076, Loss = 0.4137, Decision = 0
Round 96: Accuracy = 0.8076, Loss = 0.4152, Decision = 0
Round 97: Accuracy = 0.8073, Loss = 0.4164, Decision = 0
Round 98: Accuracy = 0.8071, Loss = 0.4180, Decision = 0
Round 99: Accuracy = 0.8062, Loss = 0.4192, Decision = 0
Round 100: Accuracy = 0.8056, Loss = 0.4207, Decision = 0
Round 101: Accuracy = 0.8051, Loss = 0.4223, Decision = 0
Round 102: Accuracy = 0.8051, Loss = 0.4240, Decision = 0
Round 103: Accuracy = 0.8045, Loss = 0.4257, Decision = 0
Round 104: Accuracy = 0.8039, Loss = 0.4272, Decision = 0
Round 105: Accuracy = 0.8035, Loss = 0.4290, Decision = 0
Round 106: Accuracy = 0.8034, Loss = 0.4306, Decision = 0
Round 107: Accuracy = 0.8028, Loss = 0.4325, Decision = 0
Round 108: Accuracy = 0.8023, Loss = 0.4341, Decision = 0
Round 109: Accuracy = 0.8020, Loss = 0.4360, Decision = 0
Round 110: Accuracy = 0.8017, Loss = 0.4378, Decision = 0
Round 111: Accuracy = 0.8010, Loss = 0.4397, Decision = 0
Round 112: Accuracy = 0.8009, Loss = 0.4417, Decision = 0
Round 113: Accuracy = 0.8003, Loss = 0.4439, Decision = 0
Round 114: Accuracy = 0.7993, Loss = 0.4460, Decision = 0
Round 115: Accuracy = 0.7983, Loss = 0.4485, Decision = 0
Round 116: Accuracy = 0.7980, Loss = 0.4508, Decision = 0
Round 117: Accuracy = 0.7978, Loss = 0.4530, Decision = 0
Round 118: Accuracy = 0.7969, Loss = 0.4555, Decision = 0
Round 119: Accuracy = 0.7960, Loss = 0.4576, Decision = 0
Round 120: Accuracy = 0.7951, Loss = 0.4597, Decision = 0
Round 121: Accuracy = 0.7939, Loss = 0.4623, Decision = 0
Round 122: Accuracy = 0.7932, Loss = 0.4644, Decision = 0
Round 123: Accuracy = 0.7932, Loss = 0.4666, Decision = 0
Round 124: Accuracy = 0.7925, Loss = 0.4686, Decision = 0
Round 125: Accuracy = 0.7919, Loss = 0.4714, Decision = 0
Round 126: Accuracy = 0.7915, Loss = 0.4739, Decision = 0
Round 127: Accuracy = 0.7910, Loss = 0.4764, Decision = 0
Round 128: Accuracy = 0.7907, Loss = 0.4788, Decision = 0
Round 129: Accuracy = 0.7901, Loss = 0.4813, Decision = 0
Round 130: Accuracy = 0.7897, Loss = 0.4840, Decision = 0
Round 131: Accuracy = 0.7892, Loss = 0.4866, Decision = 0
Round 132: Accuracy = 0.7890, Loss = 0.4889, Decision = 0
Round 133: Accuracy = 0.7879, Loss = 0.4913, Decision = 0
Round 134: Accuracy = 0.7871, Loss = 0.4937, Decision = 0
Round 135: Accuracy = 0.7865, Loss = 0.4962, Decision = 0
Round 136: Accuracy = 0.7859, Loss = 0.4990, Decision = 0
Round 137: Accuracy = 0.7849, Loss = 0.5016, Decision = 0
Round 138: Accuracy = 0.7839, Loss = 0.5045, Decision = 0
Round 139: Accuracy = 0.7834, Loss = 0.5075, Decision = 0
Round 140: Accuracy = 0.7822, Loss = 0.5100, Decision = 0
Round 141: Accuracy = 0.7819, Loss = 0.5128, Decision = 0
Round 142: Accuracy = 0.7816, Loss = 0.5156, Decision = 0
Round 143: Accuracy = 0.7807, Loss = 0.5184, Decision = 0
Round 144: Accuracy = 0.7790, Loss = 0.5215, Decision = 0
Round 145: Accuracy = 0.7777, Loss = 0.5246, Decision = 0
Round 146: Accuracy = 0.7769, Loss = 0.5277, Decision = 0
Epoch 1/5, Loss: 0.4741
Epoch 2/5, Loss: 0.3993
Epoch 3/5, Loss: 0.3534
Epoch 4/5, Loss: 0.3044
Epoch 5/5, Loss: 0.2567
Round 147: Accuracy = 0.7766, Loss = 0.3576, Decision = 1
Round 148: Accuracy = 0.8104, Loss = 0.2487, Decision = 0
Round 149: Accuracy = 0.8097, Loss = 0.2514, Decision = 0
Round 150: Accuracy = 0.8090, Loss = 0.2538, Decision = 0
Round 151: Accuracy = 0.8082, Loss = 0.2562, Decision = 0
Round 152: Accuracy = 0.8067, Loss = 0.2586, Decision = 0
Round 153: Accuracy = 0.8063, Loss = 0.2607, Decision = 0
Round 154: Accuracy = 0.8059, Loss = 0.2632, Decision = 0
Round 155: Accuracy = 0.8053, Loss = 0.2659, Decision = 0
Round 156: Accuracy = 0.8048, Loss = 0.2689, Decision = 0
Round 157: Accuracy = 0.8038, Loss = 0.2712, Decision = 0
Round 158: Accuracy = 0.8039, Loss = 0.2741, Decision = 0
Round 159: Accuracy = 0.8038, Loss = 0.2768, Decision = 0
Round 160: Accuracy = 0.8035, Loss = 0.2791, Decision = 0
Round 161: Accuracy = 0.8035, Loss = 0.2820, Decision = 0
Round 162: Accuracy = 0.8026, Loss = 0.2849, Decision = 0
Round 163: Accuracy = 0.8018, Loss = 0.2877, Decision = 0
Round 164: Accuracy = 0.8010, Loss = 0.2905, Decision = 0
Round 165: Accuracy = 0.8004, Loss = 0.2932, Decision = 0
Round 166: Accuracy = 0.7997, Loss = 0.2962, Decision = 0
Round 167: Accuracy = 0.7991, Loss = 0.2992, Decision = 0
Round 168: Accuracy = 0.7985, Loss = 0.3023, Decision = 0
Round 169: Accuracy = 0.7976, Loss = 0.3053, Decision = 0
Round 170: Accuracy = 0.7965, Loss = 0.3085, Decision = 0
Epoch 1/5, Loss: 0.2768
Epoch 2/5, Loss: 0.2236
Epoch 3/5, Loss: 0.2081
Epoch 4/5, Loss: 0.1739
Epoch 5/5, Loss: 0.1642
Round 171: Accuracy = 0.7955, Loss = 0.2093, Decision = 1
Round 172: Accuracy = 0.8254, Loss = 0.1104, Decision = 0
Round 173: Accuracy = 0.8249, Loss = 0.1124, Decision = 0
Round 174: Accuracy = 0.8247, Loss = 0.1146, Decision = 0
Round 175: Accuracy = 0.8242, Loss = 0.1168, Decision = 0
Round 176: Accuracy = 0.8236, Loss = 0.1189, Decision = 0
Round 177: Accuracy = 0.8233, Loss = 0.1214, Decision = 0
Round 178: Accuracy = 0.8223, Loss = 0.1237, Decision = 0
Round 179: Accuracy = 0.8219, Loss = 0.1262, Decision = 0
Round 180: Accuracy = 0.8216, Loss = 0.1291, Decision = 0
Round 181: Accuracy = 0.8208, Loss = 0.1315, Decision = 0
Round 182: Accuracy = 0.8198, Loss = 0.1338, Decision = 0
Round 183: Accuracy = 0.8192, Loss = 0.1367, Decision = 0
Round 184: Accuracy = 0.8189, Loss = 0.1396, Decision = 0
Round 185: Accuracy = 0.8184, Loss = 0.1425, Decision = 0
Round 186: Accuracy = 0.8175, Loss = 0.1457, Decision = 0
Round 187: Accuracy = 0.8168, Loss = 0.1488, Decision = 0
Round 188: Accuracy = 0.8164, Loss = 0.1516, Decision = 0
Epoch 1/5, Loss: 0.1787
Epoch 2/5, Loss: 0.1529
Epoch 3/5, Loss: 0.1462
Epoch 4/5, Loss: 0.1240
Epoch 5/5, Loss: 0.1206
Round 189: Accuracy = 0.8161, Loss = 0.1445, Decision = 1
Epoch 1/5, Loss: 0.1088
Epoch 2/5, Loss: 0.1117
Epoch 3/5, Loss: 0.1009
Epoch 4/5, Loss: 0.0834
Epoch 5/5, Loss: 0.0905
Round 190: Accuracy = 0.7947, Loss = 0.0990, Decision = 1
Round 191: Accuracy = 0.8144, Loss = 0.1003, Decision = 0
Round 192: Accuracy = 0.8142, Loss = 0.1041, Decision = 0
Round 193: Accuracy = 0.8138, Loss = 0.1069, Decision = 0
Round 194: Accuracy = 0.8123, Loss = 0.1103, Decision = 0
Round 195: Accuracy = 0.8118, Loss = 0.1144, Decision = 0
Round 196: Accuracy = 0.8116, Loss = 0.1182, Decision = 0
Round 197: Accuracy = 0.8108, Loss = 0.1231, Decision = 0
Round 198: Accuracy = 0.8100, Loss = 0.1270, Decision = 0
Epoch 1/5, Loss: 0.1080
Epoch 2/5, Loss: 0.0907
Epoch 3/5, Loss: 0.0807
Epoch 4/5, Loss: 0.0788
Epoch 5/5, Loss: 0.0775
Round 199: Accuracy = 0.8098, Loss = 0.0871, Decision = 1
