Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
/home/apiasecz/.conda/envs/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 1/5, Loss: 1.1367
Epoch 2/5, Loss: 0.7242
Epoch 3/5, Loss: 0.5719
Epoch 4/5, Loss: 0.4578
Epoch 5/5, Loss: 0.3828
Epoch 5/5, Loss: 0.1994
Round 23: Accuracy = 0.7486, Loss = 0.2964, Decision = 1
Round 24: Accuracy = 0.8345, Loss = 0.1586, Decision = 0
Round 25: Accuracy = 0.8336, Loss = 0.1630, Decision = 0
Round 26: Accuracy = 0.8325, Loss = 0.1663, Decision = 0
Round 27: Accuracy = 0.8319, Loss = 0.1700, Decision = 0
Round 28: Accuracy = 0.8315, Loss = 0.1740, Decision = 0
Round 29: Accuracy = 0.8308, Loss = 0.1780, Decision = 0
Round 30: Accuracy = 0.8301, Loss = 0.1813, Decision = 0
Round 31: Accuracy = 0.8295, Loss = 0.1847, Decision = 0
Round 32: Accuracy = 0.8296, Loss = 0.1884, Decision = 0
Round 33: Accuracy = 0.8295, Loss = 0.1931, Decision = 0
Round 34: Accuracy = 0.8282, Loss = 0.1973, Decision = 0
Round 35: Accuracy = 0.8275, Loss = 0.2018, Decision = 0
Round 36: Accuracy = 0.8275, Loss = 0.2065, Decision = 0
Round 37: Accuracy = 0.8274, Loss = 0.2096, Decision = 0
Round 38: Accuracy = 0.8272, Loss = 0.2136, Decision = 0
Round 39: Accuracy = 0.8264, Loss = 0.2169, Decision = 0
Round 40: Accuracy = 0.8262, Loss = 0.2215, Decision = 0
Round 41: Accuracy = 0.8263, Loss = 0.2265, Decision = 0
Round 42: Accuracy = 0.8253, Loss = 0.2320, Decision = 0
Round 43: Accuracy = 0.8243, Loss = 0.2362, Decision = 0
Round 44: Accuracy = 0.8231, Loss = 0.2410, Decision = 0
Round 45: Accuracy = 0.8224, Loss = 0.2459, Decision = 0
Round 46: Accuracy = 0.8227, Loss = 0.2509, Decision = 0
Round 47: Accuracy = 0.8211, Loss = 0.2549, Decision = 0
Round 48: Accuracy = 0.8197, Loss = 0.2597, Decision = 0
Round 49: Accuracy = 0.8187, Loss = 0.2624, Decision = 0
Round 50: Accuracy = 0.8173, Loss = 0.2672, Decision = 0
Round 51: Accuracy = 0.8163, Loss = 0.2714, Decision = 0
Round 52: Accuracy = 0.8149, Loss = 0.2778, Decision = 0
Round 53: Accuracy = 0.8144, Loss = 0.2834, Decision = 0
Round 54: Accuracy = 0.8135, Loss = 0.2891, Decision = 0
Round 55: Accuracy = 0.8134, Loss = 0.2918, Decision = 0
Round 56: Accuracy = 0.8133, Loss = 0.2968, Decision = 0
Round 57: Accuracy = 0.8126, Loss = 0.3025, Decision = 0
Round 58: Accuracy = 0.8120, Loss = 0.3075, Decision = 0
Round 59: Accuracy = 0.8107, Loss = 0.3132, Decision = 0
Round 60: Accuracy = 0.8098, Loss = 0.3201, Decision = 0
Round 61: Accuracy = 0.8086, Loss = 0.3263, Decision = 0
Round 62: Accuracy = 0.8084, Loss = 0.3325, Decision = 0
Round 63: Accuracy = 0.8076, Loss = 0.3393, Decision = 0
Round 64: Accuracy = 0.8068, Loss = 0.3429, Decision = 0
Round 65: Accuracy = 0.8056, Loss = 0.3482, Decision = 0
Round 66: Accuracy = 0.8044, Loss = 0.3544, Decision = 0
Round 67: Accuracy = 0.8027, Loss = 0.3593, Decision = 0
Round 68: Accuracy = 0.8017, Loss = 0.3632, Decision = 0
Round 69: Accuracy = 0.8016, Loss = 0.3688, Decision = 0
Round 70: Accuracy = 0.8002, Loss = 0.3743, Decision = 0
Round 71: Accuracy = 0.7995, Loss = 0.3797, Decision = 0
Round 72: Accuracy = 0.7977, Loss = 0.3841, Decision = 0
Round 73: Accuracy = 0.7966, Loss = 0.3890, Decision = 0
Round 74: Accuracy = 0.7954, Loss = 0.3953, Decision = 0
Round 75: Accuracy = 0.7932, Loss = 0.3996, Decision = 0
Round 76: Accuracy = 0.7935, Loss = 0.4063, Decision = 0
Round 77: Accuracy = 0.7925, Loss = 0.4129, Decision = 0
Round 78: Accuracy = 0.7916, Loss = 0.4203, Decision = 0
Round 79: Accuracy = 0.7905, Loss = 0.4262, Decision = 0
Round 80: Accuracy = 0.7897, Loss = 0.4334, Decision = 0
Round 81: Accuracy = 0.7890, Loss = 0.4400, Decision = 0
Round 82: Accuracy = 0.7864, Loss = 0.4460, Decision = 0
Round 83: Accuracy = 0.7850, Loss = 0.4516, Decision = 0
Round 84: Accuracy = 0.7835, Loss = 0.4574, Decision = 0
Round 85: Accuracy = 0.7826, Loss = 0.4626, Decision = 0
Round 86: Accuracy = 0.7822, Loss = 0.4684, Decision = 0
Round 87: Accuracy = 0.7792, Loss = 0.4739, Decision = 0
Round 88: Accuracy = 0.7784, Loss = 0.4797, Decision = 0
Round 89: Accuracy = 0.7755, Loss = 0.4868, Decision = 0
Round 90: Accuracy = 0.7751, Loss = 0.4919, Decision = 0
Round 91: Accuracy = 0.7745, Loss = 0.4972, Decision = 0
Round 92: Accuracy = 0.7735, Loss = 0.5019, Decision = 0
Round 93: Accuracy = 0.7741, Loss = 0.5079, Decision = 0
Round 94: Accuracy = 0.7735, Loss = 0.5129, Decision = 0
Round 95: Accuracy = 0.7728, Loss = 0.5196, Decision = 0
Round 96: Accuracy = 0.7723, Loss = 0.5259, Decision = 0
Round 97: Accuracy = 0.7716, Loss = 0.5308, Decision = 0
Round 98: Accuracy = 0.7697, Loss = 0.5377, Decision = 0
Round 99: Accuracy = 0.7697, Loss = 0.5444, Decision = 0
Round 100: Accuracy = 0.7694, Loss = 0.5482, Decision = 0
Round 101: Accuracy = 0.7668, Loss = 0.5557, Decision = 0
Round 102: Accuracy = 0.7651, Loss = 0.5611, Decision = 0
Round 103: Accuracy = 0.7636, Loss = 0.5702, Decision = 0
Round 104: Accuracy = 0.7630, Loss = 0.5759, Decision = 0
Round 105: Accuracy = 0.7618, Loss = 0.5828, Decision = 0
Round 106: Accuracy = 0.7605, Loss = 0.5881, Decision = 0
Round 107: Accuracy = 0.7603, Loss = 0.5925, Decision = 0
Round 108: Accuracy = 0.7589, Loss = 0.5992, Decision = 0
Round 109: Accuracy = 0.7579, Loss = 0.6063, Decision = 0
Round 110: Accuracy = 0.7566, Loss = 0.6126, Decision = 0
Round 111: Accuracy = 0.7558, Loss = 0.6180, Decision = 0
Round 112: Accuracy = 0.7546, Loss = 0.6223, Decision = 0
Round 113: Accuracy = 0.7524, Loss = 0.6308, Decision = 0
Round 114: Accuracy = 0.7527, Loss = 0.6362, Decision = 0
Round 115: Accuracy = 0.7519, Loss = 0.6432, Decision = 0
Round 116: Accuracy = 0.7514, Loss = 0.6523, Decision = 0
Round 117: Accuracy = 0.7498, Loss = 0.6602, Decision = 0
Round 118: Accuracy = 0.7481, Loss = 0.6659, Decision = 0
Round 119: Accuracy = 0.7458, Loss = 0.6717, Decision = 0
Round 120: Accuracy = 0.7441, Loss = 0.6791, Decision = 0
Round 121: Accuracy = 0.7441, Loss = 0.6846, Decision = 0
Round 122: Accuracy = 0.7430, Loss = 0.6914, Decision = 0
Round 123: Accuracy = 0.7414, Loss = 0.6992, Decision = 0
Round 124: Accuracy = 0.7389, Loss = 0.7056, Decision = 0
Round 125: Accuracy = 0.7385, Loss = 0.7140, Decision = 0
Round 126: Accuracy = 0.7380, Loss = 0.7195, Decision = 0
Round 127: Accuracy = 0.7376, Loss = 0.7278, Decision = 0
Round 128: Accuracy = 0.7369, Loss = 0.7351, Decision = 0
Round 129: Accuracy = 0.7357, Loss = 0.7394, Decision = 0
Round 130: Accuracy = 0.7345, Loss = 0.7472, Decision = 0
Round 131: Accuracy = 0.7327, Loss = 0.7527, Decision = 0
Round 132: Accuracy = 0.7327, Loss = 0.7590, Decision = 0
Round 133: Accuracy = 0.7324, Loss = 0.7663, Decision = 0
Epoch 1/5, Loss: 0.4719
Epoch 2/5, Loss: 0.3398
Epoch 3/5, Loss: 0.2701
Epoch 4/5, Loss: 0.2163
Epoch 5/5, Loss: 0.1902
Round 134: Accuracy = 0.7312, Loss = 0.2977, Decision = 1
Round 135: Accuracy = 0.8050, Loss = 0.1414, Decision = 0
Round 136: Accuracy = 0.8053, Loss = 0.1496, Decision = 0
Round 137: Accuracy = 0.8040, Loss = 0.1552, Decision = 0
Round 138: Accuracy = 0.8030, Loss = 0.1622, Decision = 0
Round 139: Accuracy = 0.8028, Loss = 0.1685, Decision = 0
Round 140: Accuracy = 0.8020, Loss = 0.1762, Decision = 0
Round 141: Accuracy = 0.8014, Loss = 0.1837, Decision = 0
Round 142: Accuracy = 0.8011, Loss = 0.1911, Decision = 0
Round 143: Accuracy = 0.8001, Loss = 0.1992, Decision = 0
Round 144: Accuracy = 0.7998, Loss = 0.2055, Decision = 0
Round 145: Accuracy = 0.7992, Loss = 0.2124, Decision = 0
Round 146: Accuracy = 0.7984, Loss = 0.2180, Decision = 0
Epoch 1/5, Loss: 0.2536
Epoch 2/5, Loss: 0.1835
Epoch 3/5, Loss: 0.1638
Epoch 4/5, Loss: 0.1307
Epoch 5/5, Loss: 0.1181
Round 147: Accuracy = 0.7968, Loss = 0.1699, Decision = 1
Round 148: Accuracy = 0.8071, Loss = 0.0791, Decision = 0
Round 149: Accuracy = 0.8064, Loss = 0.0870, Decision = 0
Round 150: Accuracy = 0.8056, Loss = 0.0971, Decision = 0
Round 151: Accuracy = 0.8054, Loss = 0.1057, Decision = 0
Round 152: Accuracy = 0.8049, Loss = 0.1151, Decision = 0
Round 153: Accuracy = 0.8050, Loss = 0.1245, Decision = 0
Epoch 1/5, Loss: 0.1697
Epoch 2/5, Loss: 0.1315
Epoch 3/5, Loss: 0.1155
Epoch 4/5, Loss: 0.1010
Epoch 5/5, Loss: 0.0915
Round 154: Accuracy = 0.8045, Loss = 0.1218, Decision = 1
Round 155: Accuracy = 0.8055, Loss = 0.0690, Decision = 0
Round 156: Accuracy = 0.8047, Loss = 0.0778, Decision = 0
Round 157: Accuracy = 0.8045, Loss = 0.0871, Decision = 0
Round 158: Accuracy = 0.8036, Loss = 0.0972, Decision = 0
Round 159: Accuracy = 0.8023, Loss = 0.1067, Decision = 0
Round 160: Accuracy = 0.8026, Loss = 0.1164, Decision = 0
Epoch 1/5, Loss: 0.1604
Epoch 2/5, Loss: 0.1126
Epoch 3/5, Loss: 0.0922
Epoch 4/5, Loss: 0.0883
Epoch 5/5, Loss: 0.0778
Round 161: Accuracy = 0.8011, Loss = 0.1063, Decision = 1
Round 162: Accuracy = 0.8048, Loss = 0.0590, Decision = 0
Round 163: Accuracy = 0.8035, Loss = 0.0713, Decision = 0
Round 164: Accuracy = 0.8029, Loss = 0.0808, Decision = 0
Round 165: Accuracy = 0.8020, Loss = 0.0922, Decision = 0
Round 166: Accuracy = 0.8017, Loss = 0.1011, Decision = 0
Round 167: Accuracy = 0.8004, Loss = 0.1106, Decision = 0
Round 168: Accuracy = 0.8001, Loss = 0.1193, Decision = 0
Round 169: Accuracy = 0.7996, Loss = 0.1291, Decision = 0
Round 170: Accuracy = 0.7983, Loss = 0.1391, Decision = 0
Round 171: Accuracy = 0.7980, Loss = 0.1491, Decision = 0
Round 172: Accuracy = 0.7971, Loss = 0.1564, Decision = 0
Round 173: Accuracy = 0.7965, Loss = 0.1677, Decision = 0
Round 174: Accuracy = 0.7948, Loss = 0.1771, Decision = 0
Round 175: Accuracy = 0.7932, Loss = 0.1871, Decision = 0
Round 176: Accuracy = 0.7915, Loss = 0.1952, Decision = 0
Round 177: Accuracy = 0.7906, Loss = 0.2026, Decision = 0
Round 178: Accuracy = 0.7898, Loss = 0.2100, Decision = 0
Round 179: Accuracy = 0.7882, Loss = 0.2197, Decision = 0
Round 180: Accuracy = 0.7872, Loss = 0.2296, Decision = 0
Round 181: Accuracy = 0.7857, Loss = 0.2369, Decision = 0
Round 182: Accuracy = 0.7839, Loss = 0.2464, Decision = 0
Round 183: Accuracy = 0.7831, Loss = 0.2549, Decision = 0
Round 184: Accuracy = 0.7831, Loss = 0.2631, Decision = 0
Round 185: Accuracy = 0.7827, Loss = 0.2707, Decision = 0
Round 186: Accuracy = 0.7812, Loss = 0.2787, Decision = 0
Round 187: Accuracy = 0.7810, Loss = 0.2905, Decision = 0
Round 188: Accuracy = 0.7803, Loss = 0.3011, Decision = 0
Round 189: Accuracy = 0.7805, Loss = 0.3072, Decision = 0
Round 190: Accuracy = 0.7794, Loss = 0.3168, Decision = 0
Round 191: Accuracy = 0.7797, Loss = 0.3261, Decision = 0
Round 192: Accuracy = 0.7795, Loss = 0.3344, Decision = 0
Round 193: Accuracy = 0.7793, Loss = 0.3429, Decision = 0
Round 194: Accuracy = 0.7778, Loss = 0.3489, Decision = 0
Round 195: Accuracy = 0.7772, Loss = 0.3563, Decision = 0
Round 196: Accuracy = 0.7770, Loss = 0.3647, Decision = 0
Round 197: Accuracy = 0.7765, Loss = 0.3732, Decision = 0
Round 198: Accuracy = 0.7745, Loss = 0.3831, Decision = 0
Round 199: Accuracy = 0.7744, Loss = 0.3905, Decision = 0
